contract,duration
time_manipulation.ether_lotto_sol_EtherLotto.hex,1.3689005374908447
unchecked_low_level_calls.0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c_sol_VaultProxy.hex,2.4674606323242188
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Token.hex,2.131115674972534
bad_randomness.random_number_generator_sol_RandomNumberGenerator.hex,1.31634521484375
access_control.parity_wallet_bug_2_sol_WalletEvents.hex,1.4178979396820068
unchecked_low_level_calls.0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c_sol_EBU.hex,1.5675315856933594
unchecked_low_level_calls.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf_sol_Honey.hex,2.3775880336761475
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Splitter.hex,3.475229024887085
unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,2.217733860015869
reentrancy.etherstore_sol_EtherStore.hex,1.3161060810089111
reentrancy.0x4e73b32ed6c35f570686b89848e5f39f20ecc106_sol_PRIVATE_ETH_CELL.hex,1.617051124572754
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_TokenBank.hex,3.7262990474700928
arithmetic.overflow_simple_add_sol_Overflow_Add.hex,1.374560832977295
arithmetic.integer_overflow_add_sol_IntegerOverflowAdd.hex,1.4662270545959473
time_manipulation.timed_crowdsale_sol_TimedCrowdsale.hex,1.416532278060913
access_control.FibonacciBalance_sol_FibonacciBalance.hex,1.5802853107452393
unchecked_low_level_calls.0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e_sol_PoCGame.hex,4.121432542800903
access_control.multiowned_vulnerable_sol_TestContract.hex,4.32930588722229
access_control.incorrect_constructor_name3_sol_Missing.hex,1.7191839218139648
unchecked_low_level_calls.0xe09b1ab8111c2729a76f16de96bc86a7af837928_sol_FiftyFlip.hex,7.4760847091674805
reentrancy.modifier_reentrancy_sol_attack.hex,1.8263719081878662
reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,1.5673179626464844
unchecked_low_level_calls.0xec329ffc97d75fe03428ae155fc7793431487f63_sol_TokenSender.hex,4.486481189727783
access_control.wallet_04_confused_sign_sol_Wallet.hex,1.71781325340271
unchecked_low_level_calls.0xb37f18af15bafb869a065b61fc83cfc44ed9cc27_sol_SimpleWallet.hex,3.379547357559204
unchecked_low_level_calls.unchecked_return_value_sol_ReturnValue.hex,1.48484206199646
access_control.phishable_sol_Phishable.hex,1.3215875625610352
unchecked_low_level_calls.0xa46edd6a9a93feec36576ee5048146870ea2c3ae_sol_EBU.hex,1.5196723937988281
unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,2.390794515609741
front_running.eth_tx_order_dependence_minimal_sol_EthTxOrderDependenceMinimal.hex,1.71724534034729
front_running.ERC20_sol_SafeMath.hex,1.5292174816131592
reentrancy.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3_sol_W_WALLET.hex,1.7173333168029785
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_Ownable.hex,1.5671331882476807
bad_randomness.lottery_sol_Lottery.hex,2.029961585998535
reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,1.5368714332580566
time_manipulation.lottopollo_sol_lottopollo.hex,1.6286234855651855
arithmetic.token_sol_Token.hex,1.516646385192871
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_SafeMath.hex,1.2162036895751953
reentrancy.0x561eac93c92360949ab1f1403323e6db345cbf31_sol_BANK_SAFE.hex,1.3837909698486328
front_running.odds_and_evens_sol_OddsAndEvens.hex,2.1173741817474365
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_TokenBank.hex,4.0242345333099365
unchecked_low_level_calls.0x2972d548497286d18e92b5fa1f8f9139e5653fd2_sol_demo.hex,1.4243535995483398
arithmetic.integer_overflow_minimal_sol_IntegerOverflowMinimal.hex,1.3670251369476318
unchecked_low_level_calls.mishandled_sol_SendBack.hex,1.2243561744689941
bad_randomness.smart_billions_sol_SafeMath.hex,1.1658320426940918
unchecked_low_level_calls.0xbaa3de6504690efb064420d89e871c27065cdd52_sol_Proxy.hex,1.3164103031158447
access_control.mycontract_sol_MyContract.hex,1.223860502243042
unchecked_low_level_calls.0xa1fceeff3acc57d257b917e30c4df661401d6431_sol_AirDropContract.hex,1.3290212154388428
access_control.multiowned_vulnerable_sol_MultiOwnable.hex,3.7711312770843506
reentrancy.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_sol_Private_Bank.hex,1.2162237167358398
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Token.hex,2.1683807373046875
arithmetic.tokensalechallenge_sol_TokenSaleChallenge.hex,1.2663323879241943
bad_randomness.lucky_doubler_sol_LuckyDoubler.hex,7.278397798538208
unchecked_low_level_calls.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e_sol_WhaleGiveaway2.hex,2.375491142272949
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaBase.hex,14.975799322128296
arithmetic.overflow_single_tx_sol_IntegerOverflowSingleTransaction.hex,1.2668776512145996
denial_of_service.dos_simple_sol_DosOneFunc.hex,1.5166561603546143
access_control.proxy_sol_Proxy.hex,1.3157377243041992
unchecked_low_level_calls.0xec329ffc97d75fe03428ae155fc7793431487f63_sol_Owned.hex,1.6804471015930176
unchecked_low_level_calls.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35_sol_TokenBank.hex,3.2192273139953613
unchecked_low_level_calls.0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9_sol_Caller.hex,1.0663061141967773
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaAccessControl.hex,3.419989585876465
unchecked_low_level_calls.0x7d09edb07d23acb532a82be3da5c17d9d85806b4_sol_PoCGame.hex,3.08573579788208
front_running.FindThisHash_sol_FindThisHash.hex,1.2665550708770752
arithmetic.integer_overflow_mapping_sym_1_sol_IntegerOverflowMappingSym1.hex,1.1665441989898682
reentrancy.0x941d225236464a25eb18076df7da6a91d0f95e9e_sol_ETH_FUND.hex,1.2164669036865234
unchecked_low_level_calls.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_sol_Proxy.hex,1.366386890411377
unchecked_low_level_calls.0x524960d55174d912768678d8c606b4d50b79d7b1_sol_Centra4.hex,1.21630859375
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Ownable.hex,1.4763984680175781
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Ownable.hex,1.7268786430358887
reentrancy.modifier_reentrancy_sol_Bank.hex,1.2664284706115723
denial_of_service.auction_sol_DosAuction.hex,1.1160244941711426
bad_randomness.old_blockhash_sol_PredictTheBlockHashChallenge.hex,1.5327997207641602
unchecked_low_level_calls.king_of_the_ether_throne_sol_KingOfTheEtherThrone.hex,3.6721174716949463
access_control.unprotected0_sol_Unprotected.hex,1.0161325931549072
time_manipulation.roulette_sol_Roulette.hex,1.1162867546081543
unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Marriage.hex,14.803212881088257
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SiringClockAuction.hex,4.1704421043396
reentrancy.spank_chain_payment_sol_HumanStandardToken.hex,1.8673932552337646
denial_of_service.send_loop_sol_Refunder.hex,1.1666038036346436
reentrancy.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_sol_WALLET.hex,1.116340160369873
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaOwnership.hex,8.681115865707397
unchecked_low_level_calls.0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8_sol_Owned.hex,1.6171917915344238
unchecked_low_level_calls.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707_sol_Pie.hex,1.6674771308898926
reentrancy.0x93c32845fae42c83a70e5f06214c8433665c2ab5_sol_X_WALLET.hex,1.326509714126587
arithmetic.integer_overflow_multitx_onefunc_feasible_sol_IntegerOverflowMultiTxOneFuncFeasible.hex,1.0659732818603516
unchecked_low_level_calls.lotto_sol_Lotto.hex,1.0664079189300537
other.open_address_lottery_sol_OpenAddressLottery.hex,1.617119550704956
reentrancy.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_sol_PrivateBank.hex,1.2162351608276367
unchecked_low_level_calls.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_sol_DepositProxy.hex,1.7676434516906738
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Puppet.hex,1.366872787475586
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SaleClockAuction.hex,6.377664566040039
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SaleClockAuctionERC20.hex,6.677646160125732
bad_randomness.etheraffle_sol_Ethraffle_v4b.hex,3.771981716156006
arithmetic.BECToken_sol_Ownable.hex,1.2669031620025635
reentrancy.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_sol_DEP_BANK.hex,1.1250295639038086
arithmetic.BECToken_sol_SafeMath.hex,1.1166698932647705
unchecked_low_level_calls.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984_sol_EtherGet.hex,1.116434097290039
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_ClockAuctionBase.hex,1.0664091110229492
unchecked_low_level_calls.0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87_sol_Freebie.hex,1.667647361755371
unchecked_low_level_calls.0xb620cee6b52f96f3c6b253e6eea556aa2d214a99_sol_DrainMe.hex,6.177632093429565
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_Ownable.hex,1.2666430473327637
unchecked_low_level_calls.0x89c1b3807d4c67df034fffb62f3509561218d30b_sol_TownCrier.hex,408.6111135482788
unchecked_low_level_calls.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37_sol_WhaleGiveaway1.hex,1.8675222396850586
unchecked_low_level_calls.etherpot_lotto_sol_Lotto.hex,920.9518628120422
reentrancy.reentrancy_insecure_sol_Reentrancy_insecure.hex,1.116063117980957
time_manipulation.governmental_survey_sol_Attacker.hex,1.1159775257110596
unchecked_low_level_calls.0xd2018bfaa266a9ec0a1a84b061640faa009def76_sol_Pie.hex,1.6163983345031738
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaAuction.hex,69.89113283157349
unchecked_low_level_calls.0x9d06cbafa865037a01d322d3f4222fa3e04e5488_sol_Delta.hex,1.566678524017334
unchecked_low_level_calls.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4_sol_HomeyJar.hex,1.566711187362671
