contract,duration
front_running.ERC20_sol_SafeMath.hex,2.084282398223877
unchecked_low_level_calls.unchecked_return_value_sol_ReturnValue.hex,2.327665328979492
arithmetic.overflow_simple_add_sol_Overflow_Add.hex,2.4319424629211426
arithmetic.integer_overflow_multitx_multifunc_feasible_sol_IntegerOverflowMultiTxMultiFuncFeasible.hex,2.4820797443389893
unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_SafeMath.hex,2.5211188793182373
time_manipulation.timed_crowdsale_sol_TimedCrowdsale.hex,2.524479627609253
access_control.phishable_sol_Phishable.hex,2.530104160308838
unchecked_low_level_calls.mishandled_sol_SendBack.hex,2.526571273803711
access_control.unprotected0_sol_Unprotected.hex,2.5231361389160156
access_control.parity_wallet_bug_2_sol_WalletEvents.hex,2.5694377422332764
reentrancy.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_sol_PrivateBank.hex,2.569793701171875
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_SafeMath.hex,2.5753350257873535
unchecked_low_level_calls.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984_sol_EtherGet.hex,2.5732533931732178
arithmetic.BECToken_sol_SafeMath.hex,2.579563856124878
reentrancy.modifier_reentrancy_sol_Bank.hex,2.592221975326538
reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,2.629333257675171
access_control.FibonacciBalance_sol_FibonacciBalance.hex,2.640963554382324
unchecked_low_level_calls.0xa46edd6a9a93feec36576ee5048146870ea2c3ae_sol_EBU.hex,2.726593255996704
unchecked_low_level_calls.0xa1fceeff3acc57d257b917e30c4df661401d6431_sol_AirDropContract.hex,2.732430934906006
unchecked_low_level_calls.0xbaa3de6504690efb064420d89e871c27065cdd52_sol_Proxy.hex,2.8218119144439697
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_Ownable.hex,2.870999813079834
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Ownable.hex,2.972659111022949
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Token.hex,3.0284841060638428
unchecked_low_level_calls.0xec329ffc97d75fe03428ae155fc7793431487f63_sol_Owned.hex,3.0276482105255127
denial_of_service.dos_simple_sol_DosOneFunc.hex,3.032473564147949
unchecked_low_level_calls.0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8_sol_Owned.hex,3.073730230331421
unchecked_low_level_calls.0xdb1c55f6926e7d847ddf8678905ad871a68199d2_sol_FreeEth.hex,3.1249635219573975
unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,3.1714894771575928
unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,3.427715301513672
reentrancy.spank_chain_payment_sol_HumanStandardToken.hex,3.6810646057128906
other.crypto_roulette_sol_CryptoRoulette.hex,3.980961561203003
access_control.incorrect_constructor_name3_sol_Missing.hex,1.7258241176605225
reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,1.6663780212402344
unchecked_low_level_calls.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_sol_DepositProxy.hex,4.1889283657073975
time_manipulation.roulette_sol_Roulette.hex,1.717010498046875
denial_of_service.auction_sol_DosAuction.hex,1.6729695796966553
unchecked_low_level_calls.0xb620cee6b52f96f3c6b253e6eea556aa2d214a99_sol_DrainMe.hex,4.427076578140259
short_addresses.short_address_example_sol_MyToken.hex,1.9170403480529785
access_control.mycontract_sol_MyContract.hex,1.9169361591339111
access_control.wallet_03_wrong_constructor_sol_Wallet.hex,1.9675796031951904
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_ClockAuctionBase.hex,1.9798853397369385
reentrancy.0x561eac93c92360949ab1f1403323e6db345cbf31_sol_BANK_SAFE.hex,2.0687129497528076
reentrancy.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_sol_Private_Bank.hex,1.9671924114227295
arithmetic.token_sol_Token.hex,1.9672560691833496
reentrancy.0x4e73b32ed6c35f570686b89848e5f39f20ecc106_sol_PRIVATE_ETH_CELL.hex,2.3676841259002686
access_control.wallet_04_confused_sign_sol_Wallet.hex,2.3184401988983154
