contract,AChecker_normal,AChecker
unchecked_low_level_calls.0xa1fceeff3acc57d257b917e30c4df661401d6431_sol_AirDropContract.hex,2.7154695987701416,2.7784948348999023
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Token.hex,2.765188217163086,3.12931489944458
unchecked_low_level_calls.0xdb1c55f6926e7d847ddf8678905ad871a68199d2_sol_FreeEth.hex,2.7837231159210205,2.8847732543945312
unchecked_low_level_calls.0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8_sol_Owned.hex,2.8633928298950195,3.371036529541016
unchecked_low_level_calls.0x7a4349a749e59a5736efb7826ee3496a2dfd5489_sol_WhaleGiveaway1.hex,2.8800089359283447,3.0312340259552
other.crypto_roulette_sol_CryptoRoulette.hex,2.878122091293335,3.2219326496124268
unchecked_low_level_calls.0x958a8f594101d2c0485a52319f29b2647f2ebc06_sol_Owned.hex,2.882064819335937,3.171360731124878
unchecked_low_level_calls.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_sol_DepositProxy.hex,2.906806230545044,2.939765930175781
unchecked_low_level_calls.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35_sol_TokenBank.hex,3.0836215019226074,4.522909879684448
unchecked_low_level_calls.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_TokenBank.hex,3.1708264350891118,4.742408037185669
reentrancy.spank_chain_payment_sol_HumanStandardToken.hex,3.4949772357940674,3.420957326889038
reentrancy.0x561eac93c92360949ab1f1403323e6db345cbf31_sol_BANK_SAFE.hex,1.6909403800964355,2.0789711475372314
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaAccessControl.hex,4.228474378585815,4.5795738697052
short_addresses.short_address_example_sol_MyToken.hex,2.073431491851806,1.585232496261597
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_ClockAuctionBase.hex,1.9674303531646729,1.982749938964844
reentrancy.0x4e73b32ed6c35f570686b89848e5f39f20ecc106_sol_PRIVATE_ETH_CELL.hex,2.072039127349853,1.4748895168304443
denial_of_service.auction_sol_DosAuction.hex,2.0685980319976807,1.9230916500091555
time_manipulation.roulette_sol_Roulette.hex,2.173938035964966,1.4730803966522217
access_control.mycontract_sol_MyContract.hex,2.130454540252685,1.649454116821289
access_control.proxy_sol_Proxy.hex,2.226186990737915,2.274939775466919
reentrancy.0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1_sol_ACCURAL_DEPOSIT.hex,2.333580017089844,2.210639476776123
unchecked_low_level_calls.0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9_sol_Caller.hex,2.1978821754455566,2.178884267807007
arithmetic.token_sol_Token.hex,2.292344570159912,1.9669809341430664
bad_randomness.old_blockhash_sol_PredictTheBlockHashChallenge.hex,2.524073362350464,2.3284919261932373
access_control.wallet_04_confused_sign_sol_Wallet.hex,2.542640924453736,2.128209352493286
unchecked_low_level_calls.0xb620cee6b52f96f3c6b253e6eea556aa2d214a99_sol_DrainMe.hex,5.119762420654297,4.487276554107666
time_manipulation.governmental_survey_sol_Governmental.hex,2.4247515201568604,2.1923768520355225
arithmetic.integer_overflow_add_sol_IntegerOverflowAdd.hex,2.3723604679107666,2.222208261489868
access_control.wallet_03_wrong_constructor_sol_Wallet.hex,2.72733736038208,2.023550033569336
reentrancy.0x93c32845fae42c83a70e5f06214c8433665c2ab5_sol_X_WALLET.hex,2.4261481761932373,2.257976055145264
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Token.hex,2.773033857345581,2.668492317199707
access_control.incorrect_constructor_name3_sol_Missing.hex,2.7832868099212646,2.239612340927124
reentrancy.0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_sol_Private_Bank.hex,2.6859548091888428,1.86950159072876
bad_randomness.lottery_sol_Lottery.hex,2.6342906951904297,2.549306869506836
other.name_registrar_sol_NameRegistrar.hex,2.394495010375977,2.267375230789185
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_TokenBank.hex,3.11966609954834,4.50208044052124
unchecked_low_level_calls.0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c_sol_EBU.hex,2.9382567405700684,2.469647169113159
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Puppet.hex,2.906622171401977,2.428242444992065
front_running.FindThisHash_sol_FindThisHash.hex,2.9434831142425537,2.176257848739624
unchecked_low_level_calls.0x5aa88d2901c68fda244f1d0584400368d2c8e739_sol_MultiplicatorX3.hex,3.1781582832336426,2.731074333190918
reentrancy.0x941d225236464a25eb18076df7da6a91d0f95e9e_sol_ETH_FUND.hex,2.141833782196045,1.823310613632202
denial_of_service.send_loop_sol_Refunder.hex,2.8907265663146973,2.2897777557373047
access_control.multiowned_vulnerable_sol_MultiOwnable.hex,4.137729167938232,4.793688058853149
time_manipulation.lottopollo_sol_lottopollo.hex,2.558102607727051,2.0382847785949707
reentrancy.0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_sol_DEP_BANK.hex,2.4454267024993896,2.397747039794922
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaBase.hex,6.973929405212402,10.989170551300049
unchecked_low_level_calls.0x2972d548497286d18e92b5fa1f8f9139e5653fd2_sol_demo.hex,2.487297296524048,2.469744682312012
reentrancy.modifier_reentrancy_sol_attack.hex,2.844900131225586,2.522753953933716
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_Splitter.hex,2.8369739055633545,4.156989097595215
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_Ownable.hex,3.007882833480835,2.334362268447876
arithmetic.integer_overflow_multitx_onefunc_feasible_sol_IntegerOverflowMultiTxOneFuncFeasible.hex,2.453869342803955,1.9281129837036133
unchecked_low_level_calls.0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf_sol_Honey.hex,2.79580020904541,3.120696544647217
bad_randomness.smart_billions_sol_SafeMath.hex,2.5429611206054688,1.7810494899749756
reentrancy.0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3_sol_W_WALLET.hex,2.90732479095459,2.077346086502075
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_Ownable.hex,2.8050646781921387,2.42947006225586
reentrancy.etherstore_sol_EtherStore.hex,2.584975242614746,2.067111730575561
unchecked_low_level_calls.0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77_sol_Proxy.hex,3.090218305587769,2.438676595687866
arithmetic.BECToken_sol_Ownable.hex,2.9863293170928955,2.3257222175598145
unchecked_low_level_calls.0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c_sol_VaultProxy.hex,2.828538179397583,2.7871298789978027
unchecked_low_level_calls.0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e_sol_WhaleGiveaway2.hex,3.0819759368896484,3.0469319820404053
arithmetic.integer_overflow_mapping_sym_1_sol_IntegerOverflowMappingSym1.hex,2.5818421840667725,1.979930639266968
reentrancy.0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_sol_WALLET.hex,2.3363630771636963,2.167107105255127
front_running.odds_and_evens_sol_OddsAndEvens.hex,2.751892328262329,2.288832187652588
arithmetic.tokensalechallenge_sol_TokenSaleChallenge.hex,2.4091970920562744,1.9745540618896484
unchecked_low_level_calls.0xd5967fed03e85d1cce44cab284695b41bc675b5c_sol_demo.hex,2.6939258575439453,2.1924490928649902
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SaleClockAuctionERC20.hex,9.511896133422852,24.49390864372253
access_control.multiowned_vulnerable_sol_TestContract.hex,4.515944957733154,5.243491411209106
bad_randomness.blackjack_sol_Deck.hex,2.085928201675415,2.0238516330718994
time_manipulation.governmental_survey_sol_Attacker.hex,2.837292432785034,2.096265316009521
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SiringClockAuction.hex,5.503807544708252,11.759377241134644
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_PandaOwnership.hex,10.18558931350708,16.397634267807007
access_control.wallet_02_refund_nosub_sol_Wallet.hex,2.640233039855957,2.345691680908203
reentrancy.0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b_sol_PENNY_BY_PENNY.hex,2.555579900741577,2.302577495574951
unchecked_low_level_calls.0x9d06cbafa865037a01d322d3f4222fa3e04e5488_sol_Delta.hex,3.1303012371063232,2.835655212402344
denial_of_service.dos_address_sol_DosGas.hex,2.3748083114624023,2.5964784622192383
arithmetic.BECToken_sol_Pausable.hex,2.732656240463257,2.3691647052764893
unchecked_low_level_calls.0x7d09edb07d23acb532a82be3da5c17d9d85806b4_sol_PoCGame.hex,3.6873295307159424,3.891148328781128
unchecked_low_level_calls.0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2_sol_WhaleGiveaway2.hex,2.829465627670288,2.596806764602661
reentrancy.reentrancy_bonus_sol_Reentrancy_bonus.hex,2.4885077476501465,1.8681931495666504
access_control.simple_suicide_sol_SimpleSuicide.hex,2.2026238441467285,1.2778005599975586
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_Pausable.hex,2.8430066108703613,2.4919373989105225
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_ERC721Metadata.hex,2.581520795822144,2.016863822937012
arithmetic.timelock_sol_TimeLock.hex,2.586195230484009,1.322758436203003
unchecked_low_level_calls.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35_sol_Token.hex,2.7443885803222656,2.2404704093933105
unchecked_low_level_calls.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Token.hex,2.6288957595825195,1.6164727210998535
access_control.mapping_write_sol_Map.hex,2.7805275917053223,2.229954481124878
bad_randomness.lucky_doubler_sol_LuckyDoubler.hex,4.805172443389893,7.874757528305054
access_control.incorrect_constructor_name2_sol_Missing.hex,3.189955711364746,1.938558340072632
access_control.arbitrary_location_write_simple_sol_Wallet.hex,3.0791234970092773,1.6303577423095703
reentrancy.0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4_sol_PrivateBank.hex,2.530134677886963,1.6803691387176514
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_ClockAuction.hex,5.73434591293335,10.453741788864136
bad_randomness.random_number_generator_sol_RandomNumberGenerator.hex,1.998082399368286,1.265993595123291
unchecked_low_level_calls.0xe894d54dca59cb53fe9cbc5155093605c7068220_sol_airDrop.hex,2.2052249908447266,1.6743178367614746
unchecked_low_level_calls.0x806a6bd219f162442d992bdc4ee6eba1f2c5a707_sol_Pie.hex,2.645900249481201,2.2828052043914795
unchecked_low_level_calls.0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c_sol_Proxy.hex,3.036340713500977,2.0359623432159424
arithmetic.integer_overflow_1_sol_Overflow.hex,2.321899175643921,1.8163316249847408
reentrancy.spank_chain_payment_sol_StandardToken.hex,2.974724292755127,1.8765175342559812
unchecked_low_level_calls.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Ownable.hex,2.992786407470703,2.303097009658813
arithmetic.BECToken_sol_BasicToken.hex,2.819281101226806,1.6754481792449951
unchecked_low_level_calls.0xf29ebe930a539a60279ace72c707cba851a57707_sol_B.hex,2.3271374702453613,1.2657639980316162
unchecked_low_level_calls.0xd2018bfaa266a9ec0a1a84b061640faa009def76_sol_Pie.hex,3.591092824935913,2.6812751293182373
reentrancy.0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f_sol_PERSONAL_BANK.hex,2.392467737197876,1.6925675868988037
unchecked_low_level_calls.0x4051334adc52057aca763453820cb0e045076ef3_sol_airdrop.hex,2.476472854614258,1.8288719654083248
unchecked_low_level_calls.0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4_sol_HomeyJar.hex,3.504364490509033,2.3910272121429443
unchecked_low_level_calls.0x663e4229142a27f00bafb5d087e1e730648314c3_sol_SaleClockAuction.hex,8.268653869628906,19.62704348564148
reentrancy.spank_chain_payment_sol_LedgerChannel.hex,2.5453221797943115,1.490687608718872
unchecked_low_level_calls.0x610495793564aed0f9c7fc48dc4c7c9151d34fd6_sol_SimpleWallet.hex,3.444770812988281,2.718768119812012
denial_of_service.list_dos_sol_Government.hex,3.972558975219727,9.20485520362854
unchecked_low_level_calls.0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01_sol_TokenBank.hex,3.6877264976501465,3.0185062885284424
access_control.incorrect_constructor_name1_sol_Missing.hex,3.1775050163269043,1.6743268966674805
reentrancy.reentrance_sol_Reentrance.hex,2.345669984817505,1.3663601875305176
arithmetic.overflow_single_tx_sol_IntegerOverflowSingleTransaction.hex,2.229665994644165,1.5167205333709717
arithmetic.integer_overflow_benign_1_sol_IntegerOverflowBenign1.hex,2.5376193523406982,1.5778615474700928
reentrancy.etherbank_sol_EtherBank.hex,2.5339725017547607,1.666822910308838
unchecked_low_level_calls.0xbaa3de6504690efb064420d89e871c27065cdd52_sol_VaultProxy.hex,3.0235519409179688,2.230950117111206
reentrancy.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f_sol_ETH_VAULT.hex,2.54461932182312,1.6754145622253418
reentrancy.0xf015c35649c82f5467c9c74b7f28ee67665aad68_sol_MY_BANK.hex,2.948182344436645,1.415895700454712
unchecked_low_level_calls.0x8fd1e427396ddb511533cf9abdbebd0a7e08da35_sol_Ownable.hex,2.7847654819488525,1.817495584487915
unchecked_low_level_calls.0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152_sol_airPort.hex,2.791973352432251,1.6189615726470947
bad_randomness.guess_the_random_number_sol_GuessTheRandomNumberChallenge.hex,2.627718925476074,1.3666608333587646
reentrancy.reentrancy_insecure_sol_Reentrancy_insecure.hex,2.4361703395843506,1.4659745693206787
arithmetic.integer_overflow_mul_sol_IntegerOverflowMul.hex,2.638253927230835,1.416297197341919
access_control.rubixi_sol_Rubixi.hex,4.040411949157715,2.3753836154937744
unchecked_low_level_calls.0x89c1b3807d4c67df034fffb62f3509561218d30b_sol_TownCrier.hex,326.28157567977905,337.849730014801
unchecked_low_level_calls.0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37_sol_WhaleGiveaway1.hex,1.617379665374756,1.8679115772247317
