contract,AChecker_normal,AChecker
unchecked_low_level_calls.0x19cf8481ea15427a98ba3cdd6d9e14690011ab10_sol_SafeMath.hex,2.3628039360046387,2.572716474533081
unchecked_low_level_calls.unchecked_return_value_sol_ReturnValue.hex,2.407334089279175,2.5718820095062256
unchecked_low_level_calls.0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6_sol_SafeMath.hex,2.4078612327575684,2.477041244506836
access_control.phishable_sol_Phishable.hex,2.414078712463379,2.379434823989868
reentrancy.reentrancy_dao_sol_ReentrancyDAO.hex,2.4124643802642822,2.624440193176269
front_running.ERC20_sol_SafeMath.hex,2.445306301116944,2.180050611495972
access_control.unprotected0_sol_Unprotected.hex,2.46050238609314,2.3743622303009038
access_control.parity_wallet_bug_2_sol_WalletEvents.hex,2.4656407833099365,2.172713279724121
unchecked_low_level_calls.0x52d2e0f9b01101a59b38a3d05c80b7618aeed984_sol_EtherGet.hex,2.485344886779785,2.4188456535339355
arithmetic.BECToken_sol_SafeMath.hex,2.492274284362793,2.469947338104248
access_control.FibonacciBalance_sol_FibonacciBalance.hex,2.4989335536956787,2.6243927478790283
time_manipulation.timed_crowdsale_sol_TimedCrowdsale.hex,2.5100553035736084,2.589719533920288
reentrancy.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839_sol_Ownable.hex,2.511139154434204,2.8845925331115723
unchecked_low_level_calls.0xbaa3de6504690efb064420d89e871c27065cdd52_sol_Proxy.hex,2.524477958679199,2.960910558700561
reentrancy.modifier_reentrancy_sol_Bank.hex,2.5351979732513428,2.77234959602356
arithmetic.integer_overflow_multitx_multifunc_feasible_sol_IntegerOverflowMultiTxMultiFuncFeasible.hex,2.53602147102356,2.3687684535980225
reentrancy.0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_sol_PrivateBank.hex,2.542375087738037,2.584641933441162
arithmetic.overflow_simple_add_sol_Overflow_Add.hex,2.548886299133301,2.489619016647339
unchecked_low_level_calls.mishandled_sol_SendBack.hex,2.548701524734497,2.519869565963745
unchecked_low_level_calls.0xa46edd6a9a93feec36576ee5048146870ea2c3ae_sol_EBU.hex,2.562901258468628,2.773512840270996
denial_of_service.dos_simple_sol_DosOneFunc.hex,2.6133601665496826,2.97216534614563
unchecked_low_level_calls.0x39cfd754c85023648bf003bea2dd498c5612abfa_sol_Ownable.hex,2.7131154537200928,2.9282827377319336
unchecked_low_level_calls.0xec329ffc97d75fe03428ae155fc7793431487f63_sol_Owned.hex,2.711894989013672,2.771007537841797
